"Notes","Year","Year Code","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"2016","2016","17 years","17","Male","M",1442,2150416,67.1
"Total","2016","2016","17 years","17",,,2055,4205001,48.9
,"2016","2016","18 years","18","Female","F",776,2060801,37.7
,"2016","2016","18 years","18","Male","M",2040,2158502,94.5
"Total","2016","2016","18 years","18",,,2816,4219303,66.7
,"2016","2016","19 years","19","Female","F",804,2073843,38.8
,"2016","2016","19 years","19","Male","M",2387,2169637,110.0
"Total","2016","2016","19 years","19",,,3191,4243480,75.2
,"2016","2016","20 years","20","Female","F",901,2088855,43.1
,"2016","2016","20 years","20","Male","M",2602,2197366,118.4
"Total","2016","2016","20 years","20",,,3503,4286221,81.7
,"2016","2016","21 years","21","Female","F",1032,2133830,48.4
,"2016","2016","21 years","21","Male","M",3150,2253024,139.8
"Total","2016","2016","21 years","21",,,4182,4386854,95.3
,"2016","2016","22 years","22","Female","F",1107,2178862,50.8
,"2016","2016","22 years","22","Male","M",3275,2302042,142.3
"Total","2016","2016","22 years","22",,,4382,4480904,97.8
,"2016","2016","23 years","23","Female","F",1198,2210629,54.2
,"2016","2016","23 years","23","Male","M",3524,2342323,150.4
"Total","2016","2016","23 years","23",,,4722,4552952,103.7
,"2016","2016","24 years","24","Female","F",1225,2277787,53.8
,"2016","2016","24 years","24","Male","M",3749,2396310,156.4
"Total","2016","2016","24 years","24",,,4974,4674097,106.4
,"2016","2016","25 years","25","Female","F",1379,2332540,59.1
,"2016","2016","25 years","25","Male","M",3924,2425812,161.8
"Total","2016","2016","25 years","25",,,5303,4758352,111.4
,"2016","2016","26 years","26","Female","F",1476,2333494,63.3
,"2016","2016","26 years","26","Male","M",3798,2413760,157.3
"Total","2016","2016","26 years","26",,,5274,4747254,111.1
,"2016","2016","27 years","27","Female","F",1536,2243248,68.5
,"2016","2016","27 years","27","Male","M",3927,2315958,169.6
"Total","2016","2016","27 years","27",,,5463,4559206,119.8
,"2016","2016","28 years","28","Female","F",1564,2193389,71.3
,"2016","2016","28 years","28","Male","M",4030,2258118,178.5
"Total","2016","2016","28 years","28",,,5594,4451507,125.7
,"2016","2016","29 years","29","Female","F",1587,2156739,73.6
,"2016","2016","29 years","29","Male","M",3832,2217826,172.8
"Total","2016","2016","29 years","29",,,5419,4374565,123.9
,"2016","2016","30 years","30","Female","F",1725,2167435,79.6
,"2016","2016","30 years","30","Male","M",3960,2224720,178.0
"Total","2016","2016","30 years","30",,,5685,4392155,129.4
,"2016","2016","31 years","31","Female","F",1907,2190224,87.1
,"2016","2016","31 years","31","Male","M",4011,2233583,179.6
"Total","2016","2016","31 years","31",,,5918,4423807,133.8
,"2016","2016","32 years","32","Female","F",1977,2128886,92.9
,"2016","2016","32 years","32","Male","M",4147,2154190,192.5
"Total","2016","2016","32 years","32",,,6124,4283076,143.0
,"2016","2016","33 years","33","Female","F",2022,2164564,93.4
,"2016","2016","33 years","33","Male","M",4219,2181222,193.4
"Total","2016","2016","33 years","33",,,6241,4345786,143.6
,"2016","2016","34 years","34","Female","F",2186,2166986,100.9
,"2016","2016","34 years","34","Male","M",4409,2174549,202.8
"Total","2016","2016","34 years","34",,,6595,4341535,151.9
,"2016","2016","35 years","35","Female","F",2318,2146149,108.0
,"2016","2016","35 years","35","Male","M",4468,2146976,208.1
"Total","2016","2016","35 years","35",,,6786,4293125,158.1
,"2016","2016","36 years","36","Female","F",2461,2179618,112.9
,"2016","2016","36 years","36","Male","M",4564,2195944,207.8
"Total","2016","2016","36 years","36",,,7025,4375562,160.6
,"2016","2016","37 years","37","Female","F",2441,2054543,118.8
,"2016","2016","37 years","37","Male","M",4560,2048955,222.6
"Total","2016","2016","37 years","37",,,7001,4103498,170.6
,"2016","2016","38 years","38","Female","F",2606,2016225,129.3
,"2016","2016","38 years","38","Male","M",4567,2005894,227.7
"Total","2016","2016","38 years","38",,,7173,4022119,178.3
,"2016","2016","39 years","39","Female","F",2642,2000928,132.0
,"2016","2016","39 years","39","Male","M",4650,1978673,235.0
"Total","2016","2016","39 years","39",,,7292,3979601,183.2
,"2016","2016","40 years","40","Female","F",2739,1941028,141.1
,"2016","2016","40 years","40","Male","M",4597,1921122,239.3
"Total","2016","2016","40 years","40",,,7336,3862150,189.9
,"2016","2016","41 years","41","Female","F",2863,1996568,143.4
,"2016","2016","41 years","41","Male","M",4927,1983028,248.5
"Total","2016","2016","41 years","41",,,7790,3979596,195.7
,"2016","2016","42 years","42","Female","F",3134,1941928,161.4
,"2016","2016","42 years","42","Male","M",4954,1912625,259.0
"Total","2016","2016","42 years","42",,,8088,3854553,209.8
,"2016","2016","43 years","43","Female","F",3495,1977320,176.8
,"2016","2016","43 years","43","Male","M",5708,1934987,295.0
"Total","2016","2016","43 years","43",,,9203,3912307,235.2
,"2016","2016","44 years","44","Female","F",3878,2063086,188.0
,"2016","2016","44 years","44","Male","M",6220,2024559,307.2
"Total","2016","2016","44 years","44",,,10098,4087645,247.0
,"2016","2016","45 years","45","Female","F",4549,2181652,208.5
,"2016","2016","45 years","45","Male","M",6937,2137964,324.5
"Total","2016","2016","45 years","45",,,11486,4319616,265.9
,"2016","2016","46 years","46","Female","F",4860,2199725,220.9
,"2016","2016","46 years","46","Male","M",7499,2172236,345.2
"Total","2016","2016","46 years","46",,,12359,4371961,282.7
,"2016","2016","47 years","47","Female","F",4931,2088622,236.1
,"2016","2016","47 years","47","Male","M",7800,2054342,379.7
"Total","2016","2016","47 years","47",,,12731,4142964,307.3
,"2016","2016","48 years","48","Female","F",5386,2046863,263.1
,"2016","2016","48 years","48","Male","M",8380,2008211,417.3
"Total","2016","2016","48 years","48",,,13766,4055074,339.5
,"2016","2016","49 years","49","Female","F",6090,2054806,296.4
,"2016","2016","49 years","49","Male","M",9153,2003202,456.9
"Total","2016","2016","49 years","49",,,15243,4058008,375.6
,"2016","2016","50 years","50","Female","F",6721,2091455,321.4
,"2016","2016","50 years","50","Male","M",10279,2039838,503.9
"Total","2016","2016","50 years","50",,,17000,4131293,411.5
,"2016","2016","51 years","51","Female","F",7660,2217966,345.4
,"2016","2016","51 years","51","Male","M",11557,2157926,535.6
"Total","2016","2016","51 years","51",,,19217,4375892,439.2
,"2016","2016","52 years","52","Female","F",8543,2266189,377.0
,"2016","2016","52 years","52","Male","M",13268,2186447,606.8
"Total","2016","2016","52 years","52",,,21811,4452636,489.8
,"2016","2016","53 years","53","Female","F",9477,2267892,417.9
,"2016","2016","53 years","53","Male","M",14413,2177713,661.8
"Total","2016","2016","53 years","53",,,23890,4445605,537.4
,"2016","2016","54 years","54","Female","F",10213,2265370,450.8
,"2016","2016","54 years","54","Male","M",15800,2168260,728.7
"Total","2016","2016","54 years","54",,,26013,4433630,586.7
,"2016","2016","55 years","55","Female","F",11212,2297597,488.0
,"2016","2016","55 years","55","Male","M",17335,2186968,792.6
"Total","2016","2016","55 years","55",,,28547,4484565,636.6
,"2016","2016","56 years","56","Female","F",11931,2311661,516.1
,"2016","2016","56 years","56","Male","M",18283,2207097,828.4
"Total","2016","2016","56 years","56",,,30214,4518758,668.6
,"2016","2016","57 years","57","Female","F",12662,2241986,564.8
,"2016","2016","57 years","57","Male","M",19808,2120821,934.0
"Total","2016","2016","57 years","57",,,32470,4362807,744.2
,"2016","2016","58 years","58","Female","F",13403,2232174,600.4
,"2016","2016","58 years","58","Male","M",20868,2100779,993.3
"Total","2016","2016","58 years","58",,,34271,4332953,790.9
,"2016","2016","59 years","59","Female","F",14288,2213284,645.6
,"2016","2016","59 years","59","Male","M",22356,2067741,1081.2
"Total","2016","2016","59 years","59",,,36644,4281025,856.0
,"2016","2016","60 years","60","Female","F",14892,2139267,696.1
,"2016","2016","60 years","60","Male","M",22875,1984701,1152.6
"Total","2016","2016","60 years","60",,,37767,4123968,915.8
,"2016","2016","61 years","61","Female","F",15278,2122487,719.8
,"2016","2016","61 years","61","Male","M",24337,1961475,1240.7
"Total","2016","2016","61 years","61",,,39615,4083962,970.0
,"2016","2016","62 years","62","Female","F",16291,2044245,796.9
,"2016","2016","62 years","62","Male","M",24890,1867184,1333.0
"Total","2016","2016","62 years","62",,,41181,3911429,1052.8
,"2016","2016","63 years","63","Female","F",16695,1968870,847.9
,"2016","2016","63 years","63","Male","M",25337,1788512,1416.7
"Total","2016","2016","63 years","63",,,42032,3757382,1118.7
,"2016","2016","64 years","64","Female","F",17409,1892535,919.9
,"2016","2016","64 years","64","Male","M",26295,1713760,1534.3
"Total","2016","2016","64 years","64",,,43704,3606295,1211.9
,"2016","2016","65 years","65","Female","F",17934,1839731,974.8
,"2016","2016","65 years","65","Male","M",26756,1651159,1620.4
"Total","2016","2016","65 years","65",,,44690,3490890,1280.2
,"2016","2016","66 years","66","Female","F",18641,1794239,1038.9
,"2016","2016","66 years","66","Male","M",27052,1609408,1680.9
"Total","2016","2016","66 years","66",,,45693,3403647,1342.5
,"2016","2016","67 years","67","Female","F",20160,1741373,1157.7
,"2016","2016","67 years","67","Male","M",28132,1553893,1810.4
"Total","2016","2016","67 years","67",,,48292,3295266,1465.5
,"2016","2016","68 years","68","Female","F",21599,1719694,1256.0
,"2016","2016","68 years","68","Male","M",29863,1532242,1949.0
"Total","2016","2016","68 years","68",,,51462,3251936,1582.5
,"2016","2016","69 years","69","Female","F",23932,1788127,1338.4
,"2016","2016","69 years","69","Male","M",32586,1590217,2049.2
"Total","2016","2016","69 years","69",,,56518,3378344,1672.9
,"2016","2016","70 years","70","Female","F",20393,1325617,1538.4
,"2016","2016","70 years","70","Male","M",26854,1161594,2311.8
"Total","2016","2016","70 years","70",,,47247,2487211,1899.6
,"2016","2016","71 years","71","Female","F",21484,1310054,1639.9
,"2016","2016","71 years","71","Male","M",28167,1135596,2480.4
"Total","2016","2016","71 years","71",,,49651,2445650,2030.2
,"2016","2016","72 years","72","Female","F",23542,1276783,1843.9
,"2016","2016","72 years","72","Male","M",29906,1094469,2732.5
"Total","2016","2016","72 years","72",,,53448,2371252,2254.0
,"2016","2016","73 years","73","Female","F",26233,1304712,2010.6
,"2016","2016","73 years","73","Male","M",32437,1108935,2925.1
"Total","2016","2016","73 years","73",,,58670,2413647,2430.8
,"2016","2016","74 years","74","Female","F",25420,1138891,2232.0
,"2016","2016","74 years","74","Male","M",30989,953596,3249.7
"Total","2016","2016","74 years","74",,,56409,2092487,2695.8
,"2016","2016","75 years","75","Female","F",25708,1043735,2463.1
,"2016","2016","75 years","75","Male","M",30756,856476,3591.0
"Total","2016","2016","75 years","75",,,56464,1900211,2971.5
,"2016","2016","76 years","76","Female","F",25901,984932,2629.7
,"2016","2016","76 years","76","Male","M",30677,799334,3837.8
"Total","2016","2016","76 years","76",,,56578,1784266,3170.9
,"2016","2016","77 years","77","Female","F",27585,920921,2995.4
,"2016","2016","77 years","77","Male","M",31459,743645,4230.4
"Total","2016","2016","77 years","77",,,59044,1664566,3547.1
,"2016","2016","78 years","78","Female","F",28945,882532,3279.8
,"2016","2016","78 years","78","Male","M",31783,696383,4564.0
"Total","2016","2016","78 years","78",,,60728,1578915,3846.2
,"2016","2016","79 years","79","Female","F",29905,812156,3682.2
,"2016","2016","79 years","79","Male","M",32176,627781,5125.4
"Total","2016","2016","79 years","79",,,62081,1439937,4311.4
,"2016","2016","80 years","80","Female","F",31952,773313,4131.8
,"2016","2016","80 years","80","Male","M",33035,584947,5647.5
"Total","2016","2016","80 years","80",,,64987,1358260,4784.6
,"2016","2016","81 years","81","Female","F",33568,740254,4534.7
,"2016","2016","81 years","81","Male","M",33672,544044,6189.2
"Total","2016","2016","81 years","81",,,67240,1284298,5235.5
,"2016","2016","82 years","82","Female","F",34222,660414,5181.9
,"2016","2016","82 years","82","Male","M",32898,474695,6930.3
"Total","2016","2016","82 years","82",,,67120,1135109,5913.1
,"2016","2016","83 years","83","Female","F",36058,636001,5669.5
,"2016","2016","83 years","83","Male","M",33700,443081,7605.8
"Total","2016","2016","83 years","83",,,69758,1079082,6464.6
,"2016","2016","84 years","84","Female","F",38253,602402,6350.1
,"2016","2016","84 years","84","Male","M",34663,406488,8527.4
"Total","2016","2016","84 years","84",,,72916,1008890,7227.3
,"2016","2016","85 years","85","Female","F",41051,Not Applicable,Not Applicable
,"2016","2016","85 years","85","Male","M",34866,Not Applicable,Not Applicable
"Total","2016","2016","85 years","85",,,75917,Not Applicable,Not Applicable
,"2016","2016","86 years","86","Female","F",42459,Not Applicable,Not Applicable
,"2016","2016","86 years","86","Male","M",35058,Not Applicable,Not Applicable
"Total","2016","2016","86 years","86",,,77517,Not Applicable,Not Applicable
,"2016","2016","87 years","87","Female","F",43269,Not Applicable,Not Applicable
,"2016","2016","87 years","87","Male","M",33753,Not Applicable,Not Applicable
"Total","2016","2016","87 years","87",,,77022,Not Applicable,Not Applicable
,"2016","2016","88 years","88","Female","F",44814,Not Applicable,Not Applicable
,"2016","2016","88 years","88","Male","M",32916,Not Applicable,Not Applicable
"Total","2016","2016","88 years","88",,,77730,Not Applicable,Not Applicable
,"2016","2016","89 years","89","Female","F",44823,Not Applicable,Not Applicable
,"2016","2016","89 years","89","Male","M",31470,Not Applicable,Not Applicable
"Total","2016","2016","89 years","89",,,76293,Not Applicable,Not Applicable
,"2016","2016","90 years","90","Female","F",44061,Not Applicable,Not Applicable
,"2016","2016","90 years","90","Male","M",28742,Not Applicable,Not Applicable
"Total","2016","2016","90 years","90",,,72803,Not Applicable,Not Applicable
,"2016","2016","91 years","91","Female","F",43368,Not Applicable,Not Applicable
,"2016","2016","91 years","91","Male","M",26088,Not Applicable,Not Applicable
"Total","2016","2016","91 years","91",,,69456,Not Applicable,Not Applicable
,"2016","2016","92 years","92","Female","F",40362,Not Applicable,Not Applicable
,"2016","2016","92 years","92","Male","M",22897,Not Applicable,Not Applicable
"Total","2016","2016","92 years","92",,,63259,Not Applicable,Not Applicable
,"2016","2016","93 years","93","Female","F",36549,Not Applicable,Not Applicable
,"2016","2016","93 years","93","Male","M",19433,Not Applicable,Not Applicable
"Total","2016","2016","93 years","93",,,55982,Not Applicable,Not Applicable
,"2016","2016","94 years","94","Female","F",33094,Not Applicable,Not Applicable
,"2016","2016","94 years","94","Male","M",16177,Not Applicable,Not Applicable
"Total","2016","2016","94 years","94",,,49271,Not Applicable,Not Applicable
,"2016","2016","95 years","95","Female","F",28427,Not Applicable,Not Applicable
,"2016","2016","95 years","95","Male","M",12795,Not Applicable,Not Applicable
"Total","2016","2016","95 years","95",,,41222,Not Applicable,Not Applicable
,"2016","2016","96 years","96","Female","F",23356,Not Applicable,Not Applicable
,"2016","2016","96 years","96","Male","M",9608,Not Applicable,Not Applicable
"Total","2016","2016","96 years","96",,,32964,Not Applicable,Not Applicable
,"2016","2016","97 years","97","Female","F",17890,Not Applicable,Not Applicable
,"2016","2016","97 years","97","Male","M",6496,Not Applicable,Not Applicable
"Total","2016","2016","97 years","97",,,24386,Not Applicable,Not Applicable
,"2016","2016","98 years","98","Female","F",14343,Not Applicable,Not Applicable
,"2016","2016","98 years","98","Male","M",4867,Not Applicable,Not Applicable
"Total","2016","2016","98 years","98",,,19210,Not Applicable,Not Applicable
,"2016","2016","99 years","99","Female","F",10451,Not Applicable,Not Applicable
,"2016","2016","99 years","99","Male","M",3143,Not Applicable,Not Applicable
"Total","2016","2016","99 years","99",,,13594,Not Applicable,Not Applicable
,"2016","2016","100+ years","100","Female","F",22790,Not Applicable,Not Applicable
,"2016","2016","100+ years","100","Male","M",5046,Not Applicable,Not Applicable
"Total","2016","2016","100+ years","100",,,27836,Not Applicable,Not Applicable
,"2016","2016","Not Stated","NS","Female","F",40,Not Applicable,Not Applicable
,"2016","2016","Not Stated","NS","Male","M",97,Not Applicable,Not Applicable
"Total","2016","2016","Not Stated","NS",,,137,Not Applicable,Not Applicable
"Total","2016","2016",,,,,2744248,323127513,849.3
,"2017","2017","< 1 year","0","Female","F",9867,1924145,512.8
,"2017","2017","< 1 year","0","Male","M",12468,2015150,618.7
"Total","2017","2017","< 1 year","0",,,22335,3939295,567.0
,"2017","2017","1 year","1","Female","F",658,1943534,33.9
,"2017","2017","1 year","1","Male","M",859,2031718,42.3
"Total","2017","2017","1 year","1",,,1517,3975252,38.2
,"2017","2017","2 years","2","Female","F",405,1965150,20.6
,"2017","2017","2 years","2","Male","M",587,2056625,28.5
"Total","2017","2017","2 years","2",,,992,4021775,24.7
,"2017","2017","3 years","3","Female","F",312,1956281,15.9
,"2017","2017","3 years","3","Male","M",461,2050474,22.5
"Total","2017","2017","3 years","3",,,773,4006755,19.3
,"2017","2017","4 years","4","Female","F",273,1953782,14.0
,"2017","2017","4 years","4","Male","M",325,2042001,15.9
"Total","2017","2017","4 years","4",,,598,3995783,15.0
,"2017","2017","5 years","5","Female","F",211,1956268,10.8
,"2017","2017","5 years","5","Male","M",300,2045050,14.7
"Total","2017","2017","5 years","5",,,511,4001318,12.8
,"2017","2017","6 years","6","Female","F",213,1976331,10.8
,"2017","2017","6 years","6","Male","M",242,2069201,11.7
"Total","2017","2017","6 years","6",,,455,4045532,11.2
,"2017","2017","7 years","7","Female","F",219,1979376,11.1
,"2017","2017","7 years","7","Male","M",267,2063003,12.9
"Total","2017","2017","7 years","7",,,486,4042379,12.0
,"2017","2017","8 years","8","Female","F",206,1980666,10.4
,"2017","2017","8 years","8","Male","M",248,2062172,12.0
"Total","2017","2017","8 years","8",,,454,4042838,11.2
,"2017","2017","9 years","9","Female","F",206,2043456,10.1
,"2017","2017","9 years","9","Male","M",242,2128715,11.4
"Total","2017","2017","9 years","9",,,448,4172171,10.7
,"2017","2017","10 years","10","Female","F",200,2051237,9.8
,"2017","2017","10 years","10","Male","M",294,2140682,13.7
"Total","2017","2017","10 years","10",,,494,4191919,11.8
,"2017","2017","11 years","11","Female","F",218,2034143,10.7
,"2017","2017","11 years","11","Male","M",304,2123819,14.3
"Total","2017","2017","11 years","11",,,522,4157962,12.6
,"2017","2017","12 years","12","Female","F",218,2029693,10.7
,"2017","2017","12 years","12","Male","M",383,2116260,18.1
"Total","2017","2017","12 years","12",,,601,4145953,14.5
,"2017","2017","13 years","13","Female","F",274,2035757,13.5
,"2017","2017","13 years","13","Male","M",428,2119558,20.2
"Total","2017","2017","13 years","13",,,702,4155315,16.9
,"2017","2017","14 years","14","Female","F",337,2022552,16.7
,"2017","2017","14 years","14","Male","M",561,2104753,26.7
"Total","2017","2017","14 years","14",,,898,4127305,21.8
,"2017","2017","15 years","15","Female","F",423,2015751,21.0
,"2017","2017","15 years","15","Male","M",796,2098809,37.9
"Total","2017","2017","15 years","15",,,1219,4114560,29.6
,"2017","2017","16 years","16","Female","F",512,2066782,24.8
,"2017","2017","16 years","16","Male","M",1169,2155909,54.2
"Total","2017","2017","16 years","16",,,1681,4222691,39.8
,"2017","2017","17 years","17","Female","F",551,2098704,26.3
,"2017","2017","17 years","17","Male","M",1411,2197871,64.2
"Total","2017","2017","17 years","17",,,1962,4296575,45.7
,"2017","2017","18 years","18","Female","F",744,2071758,35.9
,"2017","2017","18 years","18","Male","M",2018,2169468,93.0
"Total","2017","2017","18 years","18",,,2762,4241226,65.1
,"2017","2017","19 years","19","Female","F",807,2078174,38.8
,"2017","2017","19 years","19","Male","M",2455,2178434,112.7
"Total","2017","2017","19 years","19",,,3262,4256608,76.6
,"2017","2017","20 years","20","Female","F",904,2089336,43.3
,"2017","2017","20 years","20","Male","M",2633,2187409,120.4
"Total","2017","2017","20 years","20",,,3537,4276745,82.7
,"2017","2017","21 years","21","Female","F",1028,2104329,48.9
,"2017","2017","21 years","21","Male","M",2864,2213975,129.4
"Total","2017","2017","21 years","21",,,3892,4318304,90.1
,"2017","2017","22 years","22","Female","F",1087,2150615,50.5
,"2017","2017","22 years","22","Male","M",3115,2270148,137.2
"Total","2017","2017","22 years","22",,,4202,4420763,95.1
,"2017","2017","23 years","23","Female","F",1207,2196524,55.0
,"2017","2017","23 years","23","Male","M",3387,2318784,146.1
"Total","2017","2017","23 years","23",,,4594,4515308,101.7
,"2017","2017","24 years","24","Female","F",1259,2228689,56.5
,"2017","2017","24 years","24","Male","M",3655,2358826,154.9
"Total","2017","2017","24 years","24",,,4914,4587515,107.1
,"2017","2017","25 years","25","Female","F",1413,2295484,61.6
,"2017","2017","25 years","25","Male","M",3851,2413370,159.6
"Total","2017","2017","25 years","25",,,5264,4708854,111.8
,"2017","2017","26 years","26","Female","F",1413,2350352,60.1
,"2017","2017","26 years","26","Male","M",4102,2443974,167.8
"Total","2017","2017","26 years","26",,,5515,4794326,115.0
,"2017","2017","27 years","27","Female","F",1665,2351456,70.8
,"2017","2017","27 years","27","Male","M",4147,2432679,170.5
"Total","2017","2017","27 years","27",,,5812,4784135,121.5
,"2017","2017","28 years","28","Female","F",1745,2260383,77.2
,"2017","2017","28 years","28","Male","M",4170,2335023,178.6
"Total","2017","2017","28 years","28",,,5915,4595406,128.7
,"2017","2017","29 years","29","Female","F",1655,2210555,74.9
,"2017","2017","29 years","29","Male","M",4115,2277184,180.7
"Total","2017","2017","29 years","29",,,5770,4487739,128.6
,"2017","2017","30 years","30","Female","F",1786,2174279,82.1
,"2017","2017","30 years","30","Male","M",4033,2236352,180.3
"Total","2017","2017","30 years","30",,,5819,4410631,131.9
,"2017","2017","31 years","31","Female","F",1916,2183649,87.7
,"2017","2017","31 years","31","Male","M",4244,2241759,189.3
"Total","2017","2017","31 years","31",,,6160,4425408,139.2
,"2017","2017","32 years","32","Female","F",2028,2204770,92.0
,"2017","2017","32 years","32","Male","M",4432,2248948,197.1
"Total","2017","2017","32 years","32",,,6460,4453718,145.0
,"2017","2017","33 years","33","Female","F",2166,2142863,101.1
,"2017","2017","33 years","33","Male","M",4453,2168114,205.4
"Total","2017","2017","33 years","33",,,6619,4310977,153.5
,"2017","2017","34 years","34","Female","F",2279,2177520,104.7
,"2017","2017","34 years","34","Male","M",4602,2193958,209.8
"Total","2017","2017","34 years","34",,,6881,4371478,157.4
,"2017","2017","35 years","35","Female","F",2385,2179052,109.5
,"2017","2017","35 years","35","Male","M",4661,2185895,213.2
"Total","2017","2017","35 years","35",,,7046,4364947,161.4
,"2017","2017","36 years","36","Female","F",2460,2157640,114.0
,"2017","2017","36 years","36","Male","M",4809,2156347,223.0
"Total","2017","2017","36 years","36",,,7269,4313987,168.5
,"2017","2017","37 years","37","Female","F",2662,2190170,121.5
,"2017","2017","37 years","37","Male","M",4920,2204181,223.2
"Total","2017","2017","37 years","37",,,7582,4394351,172.5
,"2017","2017","38 years","38","Female","F",2519,2063849,122.1
,"2017","2017","38 years","38","Male","M",4831,2056619,234.9
"Total","2017","2017","38 years","38",,,7350,4120468,178.4
,"2017","2017","39 years","39","Female","F",2770,2025301,136.8
,"2017","2017","39 years","39","Male","M",4884,2012943,242.6
"Total","2017","2017","39 years","39",,,7654,4038244,189.5
,"2017","2017","40 years","40","Female","F",2898,2009156,144.2
,"2017","2017","40 years","40","Male","M",5074,1985267,255.6
"Total","2017","2017","40 years","40",,,7972,3994423,199.6
,"2017","2017","41 years","41","Female","F",2956,1948683,151.7
,"2017","2017","41 years","41","Male","M",5045,1927055,261.8
"Total","2017","2017","41 years","41",,,8001,3875738,206.4
,"2017","2017","42 years","42","Female","F",3277,2003193,163.6
,"2017","2017","42 years","42","Male","M",5236,1987507,263.4
"Total","2017","2017","42 years","42",,,8513,3990700,213.3
,"2017","2017","43 years","43","Female","F",3436,1947353,176.4
,"2017","2017","43 years","43","Male","M",5464,1916102,285.2
"Total","2017","2017","43 years","43",,,8900,3863455,230.4
,"2017","2017","44 years","44","Female","F",3641,1981873,183.7
,"2017","2017","44 years","44","Male","M",5868,1937184,302.9
"Total","2017","2017","44 years","44",,,9509,3919057,242.6
,"2017","2017","45 years","45","Female","F",4140,2066554,200.3
,"2017","2017","45 years","45","Male","M",6870,2025025,339.3
"Total","2017","2017","45 years","45",,,11010,4091579,269.1
,"2017","2017","46 years","46","Female","F",4863,2183846,222.7
,"2017","2017","46 years","46","Male","M",7680,2136737,359.4
"Total","2017","2017","46 years","46",,,12543,4320583,290.3
,"2017","2017","47 years","47","Female","F",5251,2201202,238.6
,"2017","2017","47 years","47","Male","M",8282,2169762,381.7
"Total","2017","2017","47 years","47",,,13533,4370964,309.6
,"2017","2017","48 years","48","Female","F",5441,2089271,260.4
,"2017","2017","48 years","48","Male","M",8450,2050739,412.0
"Total","2017","2017","48 years","48",,,13891,4140010,335.5
,"2017","2017","49 years","49","Female","F",5780,2046810,282.4
,"2017","2017","49 years","49","Male","M",8941,2003912,446.2
"Total","2017","2017","49 years","49",,,14721,4050722,363.4
,"2017","2017","50 years","50","Female","F",6490,2053593,316.0
,"2017","2017","50 years","50","Male","M",9935,1997485,497.4
"Total","2017","2017","50 years","50",,,16425,4051078,405.4
,"2017","2017","51 years","51","Female","F",7200,2089015,344.7
,"2017","2017","51 years","51","Male","M",11297,2032379,555.9
"Total","2017","2017","51 years","51",,,18497,4121394,448.8
,"2017","2017","52 years","52","Female","F",8160,2214239,368.5
,"2017","2017","52 years","52","Male","M",12566,2148966,584.7
"Total","2017","2017","52 years","52",,,20726,4363205,475.0
,"2017","2017","53 years","53","Female","F",9047,2261664,400.0
,"2017","2017","53 years","53","Male","M",14244,2175762,654.7
"Total","2017","2017","53 years","53",,,23291,4437426,524.9
,"2017","2017","54 years","54","Female","F",9966,2262401,440.5
,"2017","2017","54 years","54","Male","M",15539,2165590,717.5
"Total","2017","2017","54 years","54",,,25505,4427991,576.0
,"2017","2017","55 years","55","Female","F",10959,2258814,485.2
,"2017","2017","55 years","55","Male","M",17001,2154452,789.1
"Total","2017","2017","55 years","55",,,27960,4413266,633.5
,"2017","2017","56 years","56","Female","F",11882,2290060,518.9
,"2017","2017","56 years","56","Male","M",18374,2171286,846.2
"Total","2017","2017","56 years","56",,,30256,4461346,678.2
,"2017","2017","57 years","57","Female","F",12929,2303341,561.3
,"2017","2017","57 years","57","Male","M",19776,2190232,902.9
"Total","2017","2017","57 years","57",,,32705,4493573,727.8
,"2017","2017","58 years","58","Female","F",13554,2232903,607.0
,"2017","2017","58 years","58","Male","M",20854,2102988,991.6
"Total","2017","2017","58 years","58",,,34408,4335891,793.6
,"2017","2017","59 years","59","Female","F",14387,2222318,647.4
,"2017","2017","59 years","59","Male","M",22382,2081562,1075.3
"Total","2017","2017","59 years","59",,,36769,4303880,854.3
,"2017","2017","60 years","60","Female","F",15369,2202546,697.8
,"2017","2017","60 years","60","Male","M",23683,2047375,1156.7
"Total","2017","2017","60 years","60",,,39052,4249921,918.9
,"2017","2017","61 years","61","Female","F",15902,2128409,747.1
,"2017","2017","61 years","61","Male","M",24309,1963253,1238.2
"Total","2017","2017","61 years","61",,,40211,4091662,982.8
,"2017","2017","62 years","62","Female","F",16467,2111180,780.0
,"2017","2017","62 years","62","Male","M",25388,1938979,1309.3
"Total","2017","2017","62 years","62",,,41855,4050159,1033.4
,"2017","2017","63 years","63","Female","F",17301,2032205,851.3
,"2017","2017","63 years","63","Male","M",26512,1843702,1438.0
"Total","2017","2017","63 years","63",,,43813,3875907,1130.4
,"2017","2017","64 years","64","Female","F",17921,1956079,916.2
,"2017","2017","64 years","64","Male","M",27056,1763974,1533.8
"Total","2017","2017","64 years","64",,,44977,3720053,1209.0
,"2017","2017","65 years","65","Female","F",18620,1878995,991.0
,"2017","2017","65 years","65","Male","M",27527,1688983,1629.8
"Total","2017","2017","65 years","65",,,46147,3567978,1293.4
,"2017","2017","66 years","66","Female","F",19061,1825058,1044.4
,"2017","2017","66 years","66","Male","M",27805,1626011,1710.0
"Total","2017","2017","66 years","66",,,46866,3451069,1358.0
,"2017","2017","67 years","67","Female","F",19936,1778116,1121.2
,"2017","2017","67 years","67","Male","M",28708,1583631,1812.8
